1. Stairway To Heaven	Stairway to Heaven
602. Stranglehold	Stranglehold
603. Ballad Of John And Yoko	The Ballad Of John And Yoko
604. Lyin’ Eyes	Lyin' Eyes
605. Superstition	Superstition
606. It’s A Long Way To The Top If You Want To Rock And Roll	It's a Long Way to the Top (If You Wanna Rock 'N' Roll)
607. Racing In The Street	Racing in the Street
608. Sister Golden Hair	Sister Golden Hair
609. Woman	Woman
610. Soulshine	Soulshine
611. The Battle Of Evermore	The Battle of Evermore
612. Amazing	Amazing
613. Just The Way You Are	Just the Way You Are
614. The Rising	The Rising
615. Rag Doll	Rag Doll
616. You Ain’t Seen Nothin’ Yet	You Ain't Seen Nothing Yet
617. In The Air Tonight	In The Air Tonight
618. Life's Been Good	Life's Been Good
619. After the Gold Rush	After The Goldrush
620. Photograph	Photograph
621. Lucy In The Sky With Diamonds	Lucy In The Sky With Diamonds
622. Rebel Yell	Rebel Yell
623. Rainy Day Women #12 And #35	Rainy Day Women #12 & 35
624. Year Of The Cat	Year of the Cat
625. Proud Mary	Proud Mary
626. Love Her Madly	Love Her Madly
627. For Those About To Rock	For Those About to Rock (We Salute You)
628. Shooting Star	Shooting Star
629. California Girls	California Girls
630. My Best Friend’s Girl	My Best Friend's Girl
631. All Right Now	All Right Now
632. Back On The Chain Gang	Back on the Chain Gang
633. Hard To Be A Saint In The City	It's Hard to Be a Saint in the City
634. Pink	Pink
635. What’s Your Name?	What's Your Name
636. Dreams	Dreams
637. Street Of Dreams	Street Of Dreams
638. Going Mobile	Going Mobile
639. Time Of The Season	Time of the Season
640. La Grange	La Grange
641. Free Fallin'	Free Fallin'
642. Watching The Wheels	Watching The Wheels
643. Benny And The Jets	Bennie And The Jets
644. One Of These Nights	One of These Nights
645. Rock On	Rock On
646. Drift Away	Drift Away
647. Love The One You’re With	Love the One You're With
648. Hard To Handle	Hard To Handle
649. Fire On High	Fire On High
650. Cult Of Personality	Cult of Personality
651. Empty Spaces/Young Lust	Empty Spaces
652. Crazy Little Thing Called Love	Crazy Little Thing Called Love
653. Turn The Page	Turn The Page
